# This dataset is synthetic and contains no real personal banking data.
Date,Description,Amount
2026-01-01,ACME Payroll Salary credit,150000
2026-01-02,Urban Nest Rent debit,-42000
2026-01-03,BigBasket Grocery debit,-4820
2026-01-04,Swiggy Food Delivery debit,-920
2026-01-05,Uber Ride debit,-640
2026-01-06,Shell Petrol Fuel debit,-3200
2026-01-07,BESCOM Electricity Bill debit,-2450
2026-01-08,Airtel Phone Recharge debit,-799
2026-01-09,HDFC Life Insurance debit,-5200
2026-01-10,Groww SIP Investment debit,-20000
2026-01-11,Netflix Subscription debit,-649
2026-01-12,Spotify Subscription debit,-119
2026-01-13,Amazon Shopping debit,-5890
2026-01-14,Apollo Pharmacy Medical debit,-1760
2026-01-15,Credit Card Bill Payment debit,-18000
2026-01-16,ATM Cash Withdrawal debit,-5000
2026-01-20,Freelance Design Income credit,22000
2026-01-24,Swiggy Food Delivery debit,-1180
2026-01-28,ICICI Bank Interest credit,850
2026-02-01,ACME Payroll Salary credit,150000
2026-02-02,Urban Nest Rent debit,-42000
2026-02-03,Dmart Grocery debit,-5300
2026-02-04,Zomato Food Delivery debit,-890
2026-02-05,Ola Cab Transport debit,-720
2026-02-06,Shell Petrol Fuel debit,-3100
2026-02-07,BESCOM Electricity Bill debit,-2680
2026-02-08,Airtel Phone Recharge debit,-799
2026-02-09,HDFC Life Insurance debit,-5200
2026-02-10,Groww SIP Investment debit,-20000
2026-02-11,Netflix Subscription debit,-649
2026-02-12,Spotify Subscription debit,-119
2026-02-13,Myntra Shopping debit,-6400
2026-02-14,Apollo Pharmacy Medical debit,-2300
2026-02-15,Credit Card Bill Payment debit,-18000
2026-02-16,Duplicate Swiggy Payment debit,-1180
2026-02-16,Duplicate Swiggy Payment debit,-1180
2026-02-21,Freelance Design Income credit,18000
2026-02-28,ICICI Bank Interest credit,870
2026-03-01,ACME Payroll Salary credit,153000
2026-03-02,Urban Nest Rent debit,-42000
2026-03-03,BigBasket Grocery debit,-5100
2026-03-04,Swiggy Food Delivery debit,-1320
2026-03-05,Metro Card Transport debit,-1200
2026-03-06,Shell Petrol Fuel debit,-3600
2026-03-07,BESCOM Electricity Bill debit,-2520
2026-03-08,Airtel Phone Recharge debit,-799
2026-03-09,HDFC Life Insurance debit,-5200
2026-03-10,Groww SIP Investment debit,-22000
2026-03-11,Netflix Subscription debit,-649
2026-03-12,Spotify Subscription debit,-119
2026-03-13,Amazon Shopping debit,-7400
2026-03-14,Manipal Hospital Medical debit,-6400
2026-03-15,Credit Card Bill Payment debit,-21000
2026-03-18,Unusual Electronics Purchase debit,-68000
2026-03-22,Freelance Design Income credit,25000
2026-03-28,ICICI Bank Interest credit,910
2026-04-01,ACME Payroll Salary credit,153000
2026-04-02,Urban Nest Rent debit,-42000
2026-04-03,Dmart Grocery debit,-5550
2026-04-04,Zomato Food Delivery debit,-1040
2026-04-05,Uber Ride debit,-860
2026-04-06,Shell Petrol Fuel debit,-3300
2026-04-07,BESCOM Electricity Bill debit,-2750
2026-04-08,Airtel Phone Recharge debit,-799
2026-04-09,HDFC Life Insurance debit,-5200
2026-04-10,Groww SIP Investment debit,-22000
2026-04-11,Netflix Subscription debit,-649
2026-04-12,Spotify Subscription debit,-119
2026-04-13,Flipkart Shopping debit,-9100
2026-04-14,Apollo Pharmacy Medical debit,-1900
2026-04-15,Credit Card Bill Payment debit,-21000
2026-04-16,ATM Cash Withdrawal debit,-4000
2026-04-23,Freelance Design Income credit,16000
2026-04-28,ICICI Bank Interest credit,930
2026-05-01,ACME Payroll Salary credit,156000
2026-05-02,Urban Nest Rent debit,-42000
2026-05-03,BigBasket Grocery debit,-5900
2026-05-04,Swiggy Food Delivery debit,-1480
2026-05-05,Ola Cab Transport debit,-760
2026-05-06,Shell Petrol Fuel debit,-3500
2026-05-07,BESCOM Electricity Bill debit,-3020
2026-05-08,Airtel Phone Recharge debit,-799
2026-05-09,HDFC Life Insurance debit,-5200
2026-05-10,Groww SIP Investment debit,-25000
2026-05-11,Netflix Subscription debit,-649
2026-05-12,Spotify Subscription debit,-119
2026-05-13,Amazon Shopping debit,-8200
2026-05-14,Apollo Pharmacy Medical debit,-2100
2026-05-15,Credit Card Bill Payment debit,-23000
2026-05-18,ATM Cash Withdrawal debit,-6000
2026-05-24,Freelance Design Income credit,20000
2026-05-28,ICICI Bank Interest credit,960
2026-06-01,ACME Payroll Salary credit,156000
2026-06-02,Urban Nest Rent debit,-42000
2026-06-03,Dmart Grocery debit,-6100
2026-06-04,Zomato Food Delivery debit,-1320
2026-06-05,Uber Ride debit,-920
2026-06-06,Shell Petrol Fuel debit,-3700
2026-06-07,BESCOM Electricity Bill debit,-2890
2026-06-08,Airtel Phone Recharge debit,-799
2026-06-09,HDFC Life Insurance debit,-5200
2026-06-10,Groww SIP Investment debit,-25000
2026-06-11,Netflix Subscription debit,-649
2026-06-12,Spotify Subscription debit,-119
2026-06-13,Myntra Shopping debit,-7600
2026-06-14,Apollo Pharmacy Medical debit,-2600
2026-06-15,Credit Card Bill Payment debit,-23000
2026-06-16,ATM Cash Withdrawal debit,-5000
